PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
Noor Ahmad,"Chennai Super Kings, Gujarat Titans",2023-2026,41,15,5,29,8,2.9,52,55.76,0,0,2,2,1,41,145.0,0,1214,49,4/18,24.77,8.37,17.7,2,0
O Thomas,Rajasthan Royals,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-,4,10.0,0,79,5,2/6,15.8,7.9,12,0,0
OA Shah,"Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals",2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23,-,-,-,-,-,-,-,-,-,-,-
OC McCoy,Rajasthan Royals,2022-2023,8,1,0,8,8,8,5,160,0,0,0,0,1,8,26.5,0,250,11,3/23,22.72,9.31,14.6,0,0
OF Smith,Punjab Kings,2022-2022,6,6,3,51,25*,17,44,115.9,0,0,1,1,5,6,15.0,0,178,6,4/30,29.66,11.86,15,1,0
P Amarnath,Chennai Super Kings,2008-2008,6,-,-,-,-,-,-,-,-,-,-,-,-,6,22.0,0,236,7,2/29,33.71,10.72,18.8,0,0
P Arya,Punjab Kings,2025-2026,20,20,0,578,103,28.9,304,190.13,1,3,1,63,35,-,-,-,-,-,-,-,-,-,-,-
P Awana,Kings XI Punjab,2012-2014,33,7,5,5,4*,2.5,14,35.71,0,0,2,0,0,33,124.3,2,1029,39,4/34,26.38,8.26,19.1,1,0
P Chopra,Rajasthan Royals,2018-2019,2,1,0,8,8,8,6,133.33,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-
P Dharmani,Kings XI Punjab,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P Dogra,"Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals",2010-2013,13,12,1,127,41,11.54,138,92.02,0,0,1,4,5,-,-,-,-,-,-,-,-,-,-,-
P Dubey,"Delhi Capitals, Punjab Kings",2020-2025,5,2,1,23,16,23,33,69.69,0,0,0,2,0,5,13.0,0,111,2,1/19,55.5,8.53,39,0,0
P Kumar,"Gujarat Lions, Kings XI Punjab, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad",2008-2017,119,59,21,340,34,8.94,314,108.28,0,0,9,22,17,119,420.4,14,3251,90,3/18,36.12,7.72,28,0,0
P Negi,"Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore",2012-2019,50,35,9,365,36,14.03,289,126.29,0,0,3,27,16,42,119.2,0,939,34,4/18,27.61,7.86,21,1,0
P Nissanka,Delhi Capitals,2026-2026,4,4,0,127,44,31.75,83,153.01,0,0,0,17,4,-,-,-,-,-,-,-,-,-,-,-
P Parameswaran,"Kochi Tuskers Kerala, Royal Challengers Bangalore",2011-2012,8,2,2,1,1*,-,2,50,0,0,0,0,0,8,25.4,0,224,9,3/30,24.88,8.72,17.1,0,0
P Prasanth,Kochi Tuskers Kerala,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0,0,18,0,-,-,18,-,0,0
P Ray Barman,Royal Challengers Bangalore,2019-2019,1,1,0,19,19,19,24,79.16,0,0,0,2,0,1,4.0,0,56,0,-,-,14,-,0,0
P Sahu,Kings XI Punjab,2016-2016,5,2,1,19,18*,19,13,146.15,0,0,0,1,1,5,17.3,0,146,3,2/18,48.66,8.34,35,0,0
P Suyal,Mumbai Indians,2013-2015,5,-,-,-,-,-,-,-,-,-,-,-,-,5,16.0,0,151,2,1/21,75.5,9.43,48,0,0
PA Patel,"Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad",2008-2019,139,137,11,2848,81,22.6,2358,120.78,0,13,13,365,49,-,-,-,-,-,-,-,-,-,-,-
PA Reddy,"Deccan Chargers, Sunrisers Hyderabad",2012-2013,12,11,1,164,42,16.4,160,102.5,0,0,0,15,2,-,-,-,-,-,-,-,-,-,-,-
PBB Rajapaksa,Punjab Kings,2022-2023,13,13,1,277,50,23.08,191,145.02,0,1,1,22,15,-,-,-,-,-,-,-,-,-,-,-
